id,wcag_criterion,conformance_level,test_type,technology_area,given,when,then,reference
CC-001,1.3.1,A,screen_reader,Labels and relationships,A form control and its visible label are present,Navigate to the control with a screen reader and inspect its programmatic label,The label is associated with the intended control; group labels are available where applicable,https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships.html
CC-002,1.4.3,AA,general,Text contrast,Text is shown on each supported component background,Measure the rendered text and background colors in the relevant states,Ordinary text has at least 4.5:1 contrast; large text has at least 3:1; record applicable criterion exceptions,https://www.w3.org/WAI/WCAG22/Understanding/contrast-minimum.html
CC-003,1.4.4,AA,zoom,Text resizing,The component contains text and interactive controls,Increase text size to 200 percent,The component retains its information and functionality; record criterion exceptions such as captions and images of text,https://www.w3.org/WAI/WCAG22/Understanding/resize-text.html
CC-004,1.4.10,AA,zoom,Reflow,The component is in a page with vertically scrolling content,Set the layout viewport to 320 CSS pixels wide or equivalent zoom and use all controls,Content remains usable without scrolling in two dimensions; document any content that requires a two-dimensional layout,https://www.w3.org/WAI/WCAG22/Understanding/reflow.html
CC-005,1.4.11,AA,general,Non-text contrast,A visual cue is needed to identify a control or its state,Measure that cue against adjacent colors in each relevant state,Required cues have at least 3:1 contrast; document applicable inactive-control or unmodified browser-appearance exceptions,https://www.w3.org/WAI/WCAG22/Understanding/non-text-contrast.html
CC-006,2.1.1,A,keyboard,Keyboard operation,The component has an interactive function,Use the documented keyboard interactions for that function,The function can be completed with a keyboard; record any criterion exception for inherently path-dependent input,https://www.w3.org/WAI/WCAG22/Understanding/keyboard.html
CC-007,2.1.2,A,keyboard,Leaving a component,Keyboard focus is inside the component,"Use Tab, Shift+Tab, or the documented exit interaction",Focus can leave through an available keyboard interaction; any nonstandard exit method is explained to the user,https://www.w3.org/WAI/WCAG22/Understanding/no-keyboard-trap.html
CC-008,2.4.3,A,keyboard,Focus order,The component includes multiple focusable controls,Move forward and backward through controls and exercise interactions that move focus,The focus sequence preserves meaning and operability; record the expected sequence for the component,https://www.w3.org/WAI/WCAG22/Understanding/focus-order.html
CC-009,2.4.7,AA,keyboard,Visible focus,The component is visible and supports keyboard interaction,Move keyboard focus to each interactive element,A visible indicator identifies the focused element,https://www.w3.org/WAI/WCAG22/Understanding/focus-visible.html
CC-010,3.3.1,A,general,Error identification,The component detects an invalid user entry,Trigger each supported validation error,A text message identifies the affected input and describes the error,https://www.w3.org/WAI/WCAG22/Understanding/error-identification.html
CC-011,4.1.2,A,screen_reader,"Name, role, and state",The component is rendered in a known state,Navigate to its controls with a screen reader and change their states,Each control exposes its intended name and role; applicable values and state changes are available to assistive technology,https://www.w3.org/WAI/WCAG22/Understanding/name-role-value.html
